state_territory,birth_cohort,age_group,home_ownership_rate_pct
Australia,1947-1951,70-74,81.93
Australia,1952-1956,65-69,80.51
Australia,1947-1951,65-69,81.68
Australia,1957-1961,60-64,78.25
Australia,1952-1956,60-64,79.37
Australia,1947-1951,60-64,81.3
Australia,1962-1966,55-59,75.47
Australia,1957-1961,55-59,76.79
Australia,1952-1956,55-59,78.91
Australia,1947-1951,55-59,81.08
Australia,1967-1971,50-54,72.42
Australia,1962-1966,50-54,73.68
Australia,1957-1961,50-54,75.98
Australia,1952-1956,50-54,78.27
Australia,1947-1951,50-54,79.62
Australia,1972-1976,45-49,69.11
Australia,1967-1971,45-49,69.85
Australia,1962-1966,45-49,72.29
Australia,1957-1961,45-49,74.97
Australia,1952-1956,45-49,76.13
Australia,1947-1951,45-49,77.83
Australia,1977-1981,40-44,64.89
Australia,1972-1976,40-44,65.27
Australia,1967-1971,40-44,67.65
Australia,1962-1966,40-44,70.72
Australia,1957-1961,40-44,71.71
Australia,1952-1956,40-44,73.31
Australia,1947-1951,40-44,75.08
Australia,1982-1986,35-39,59.2
Australia,1977-1981,35-39,58.9
Australia,1972-1976,35-39,62.15
Australia,1967-1971,35-39,65.2
Australia,1962-1966,35-39,65.95
Australia,1957-1961,35-39,67.18
Australia,1952-1956,35-39,69.07
Australia,1947-1951,35-39,72.33
Australia,1987-1991,30-34,49.69
Australia,1982-1986,30-34,49.99
Australia,1977-1981,30-34,53.5
Australia,1972-1976,30-34,57.08
Australia,1967-1971,30-34,57.26
Australia,1962-1966,30-34,58.61
Australia,1957-1961,30-34,59.14
Australia,1952-1956,30-34,64.84
Australia,1947-1951,30-34,68.03
Australia,1992-1996,25-29,36.07
Australia,1987-1991,25-29,37.42
Australia,1982-1986,25-29,41.33
Australia,1977-1981,25-29,43.44
Australia,1972-1976,25-29,43.2
Australia,1967-1971,25-29,43.53
Australia,1962-1966,25-29,46.31
Australia,1957-1961,25-29,51.1
Australia,1952-1956,25-29,53.05
Australia,1947-1951,25-29,54.23
