state_territory,census_year,age_group,birth_cohort,home_ownership_rate_pct
Australia,1976,25–29,1947–1951,54.23
Australia,1981,25–29,1952–1956,53.05
Australia,1981,30–34,1947–1951,68.03
Australia,1986,25–29,1957–1961,51.1
Australia,1986,30–34,1952–1956,64.84
Australia,1986,35–39,1947–1951,72.33
Australia,1991,25–29,1962–1966,46.31
Australia,1991,30–34,1957–1961,59.14
Australia,1991,35–39,1952–1956,69.07
Australia,1991,40–44,1947–1951,75.08
Australia,1996,25–29,1967–1971,43.53
Australia,1996,30–34,1962–1966,58.61
Australia,1996,35–39,1957–1961,67.18
Australia,1996,40–44,1952–1956,73.31
Australia,1996,45–49,1947–1951,77.83
Australia,2001,25–29,1972–1976,43.2
Australia,2001,30–34,1967–1971,57.26
Australia,2001,35–39,1962–1966,65.95
Australia,2001,40–44,1957–1961,71.71
Australia,2001,45–49,1952–1956,76.13
Australia,2001,50–54,1947–1951,79.62
Australia,2006,25–29,1977–1981,43.44
Australia,2006,30–34,1972–1976,57.08
Australia,2006,35–39,1967–1971,65.2
Australia,2006,40–44,1962–1966,70.72
Australia,2006,45–49,1957–1961,74.97
Australia,2006,50–54,1952–1956,78.27
Australia,2006,55–59,1947–1951,81.08
Australia,2011,25–29,1982–1986,41.33
Australia,2011,30–34,1977–1981,53.5
Australia,2011,35–39,1972–1976,62.15
Australia,2011,40–44,1967–1971,67.65
Australia,2011,45–49,1962–1966,72.29
Australia,2011,50–54,1957–1961,75.98
Australia,2011,55–59,1952–1956,78.91
Australia,2011,60–64,1947–1951,81.3
Australia,2016,25–29,1987–1991,37.42
Australia,2016,30–34,1982–1986,49.99
Australia,2016,35–39,1977–1981,58.9
Australia,2016,40–44,1972–1976,65.27
Australia,2016,45–49,1967–1971,69.85
Australia,2016,50–54,1962–1966,73.68
Australia,2016,55–59,1957–1961,76.79
Australia,2016,60–64,1952–1956,79.37
Australia,2016,65–69,1947–1951,81.68
Australia,2021,25–29,1992–1996,36.07
Australia,2021,30–34,1987–1991,49.69
Australia,2021,35–39,1982–1986,59.2
Australia,2021,40–44,1977–1981,64.89
Australia,2021,45–49,1972–1976,69.11
Australia,2021,50–54,1967–1971,72.42
Australia,2021,55–59,1962–1966,75.47
Australia,2021,60–64,1957–1961,78.25
Australia,2021,65–69,1952–1956,80.51
Australia,2021,70–74,1947–1951,81.93
