household_type,household_order,income_band,income_order,Owned outright,Mortgage,Rented,Other,owner_dwellings,total_dwellings,ownership_rate_pct,rented_rate_pct,other_rate_pct
Couple with children,1,Under $800,1,20938,25198,37817,1686,46136,85639,53.9,44.2,2.0
Couple with children,1,"$800-1,499",2,60951,110948,113378,4254,171899,289531,59.4,39.2,1.5
Couple with children,1,"$1,500-2,499",3,110131,366764,193555,7016,476895,677466,70.4,28.6,1.0
Couple with children,1,"$2,500-3,499",4,94650,410387,119229,4603,505037,628869,80.3,19.0,0.7
Couple with children,1,"$3,500+",5,170360,594729,115973,4186,765089,885248,86.4,13.1,0.5
Couple with no children,2,Under $800,1,307003,39756,60576,13921,346759,421256,82.3,14.4,3.3
Couple with no children,2,"$800-1,499",2,356589,79400,97697,15918,435989,549604,79.3,17.8,2.9
Couple with no children,2,"$1,500-2,499",3,205284,179780,164642,7911,385064,557617,69.1,29.5,1.4
Couple with no children,2,"$2,500-3,499",4,97516,172267,112887,4049,269783,386719,69.8,29.2,1.0
Couple with no children,2,"$3,500+",5,102422,184029,94015,3191,286451,383657,74.7,24.5,0.8
One parent family,3,Under $800,1,36088,34847,134544,3617,70935,209096,33.9,64.3,1.7
One parent family,3,"$800-1,499",2,73406,70686,148561,3538,144092,296191,48.6,50.2,1.2
One parent family,3,"$1,500-2,499",3,53391,92606,95233,1920,145997,243150,60.0,39.2,0.8
One parent family,3,"$2,500-3,499",4,20272,36202,26084,561,56474,83119,67.9,31.4,0.7
One parent family,3,"$3,500+",5,13926,26360,14972,333,40286,55591,72.5,26.9,0.6
Lone person,4,Under $800,1,584875,99912,417656,60407,684787,1162850,58.9,35.9,5.2
Lone person,4,"$800-1,499",2,168409,148511,231340,16038,316920,564298,56.2,41.0,2.8
Lone person,4,"$1,500-2,499",3,85164,172337,158788,7349,257501,423638,60.8,37.5,1.7
Lone person,4,"$2,500-3,499",4,8022,14520,12668,589,22542,35799,63.0,35.4,1.6
Lone person,4,"$3,500+",5,17666,22004,19647,1148,39670,60465,65.6,32.5,1.9
Group household,5,Under $800,1,6330,2663,19950,899,8993,29842,30.1,66.9,3.0
Group household,5,"$800-1,499",2,18717,9677,49472,1597,28394,79463,35.7,62.3,2.0
Group household,5,"$1,500-2,499",3,9395,15543,63577,1059,24938,89574,27.8,71.0,1.2
Group household,5,"$2,500-3,499",4,3748,11384,39795,485,15132,55412,27.3,71.8,0.9
Group household,5,"$3,500+",5,2653,9110,34392,385,11763,46540,25.3,73.9,0.8
Multiple-family household,6,Under $800,1,1120,1051,1334,42,2171,3547,61.2,37.6,1.2
Multiple-family household,6,"$800-1,499",2,4490,3932,5502,200,8422,14124,59.6,39.0,1.4
Multiple-family household,6,"$1,500-2,499",3,10889,12698,10384,300,23587,34271,68.8,30.3,0.9
Multiple-family household,6,"$2,500-3,499",4,10159,16131,8590,325,26290,35205,74.7,24.4,0.9
Multiple-family household,6,"$3,500+",5,19494,38521,10882,547,58015,69444,83.5,15.7,0.8
Other family,7,Under $800,1,5609,1979,6851,601,7588,15040,50.5,45.6,4.0
Other family,7,"$800-1,499",2,12138,4262,13804,907,16400,31111,52.7,44.4,2.9
Other family,7,"$1,500-2,499",3,6921,6424,14378,532,13345,28255,47.2,50.9,1.9
Other family,7,"$2,500-3,499",4,2653,4559,7300,237,7212,14749,48.9,49.5,1.6
Other family,7,"$3,500+",5,1672,3265,4933,141,4937,10011,49.3,49.3,1.4
