Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"2-digit level HCFMD Family Household Composition (Dwelling) by TEND Tenure Type and HIND Total Household Income (weekly) by Australia (EN)"
"Counting: Dwelling Records"

Filters:
"Default summation","Dwelling Records"
"Australia (EN)","Australia"

"TEND Tenure Type","Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,"Not stated",,,,,,,,,,,,,,,,,,,,,,,,,"Other",,,,,,,,,,,,,,,,,,,,,,,,,"Occupied under a life tenure scheme",,,,,,,,,,,,,,,,,,,,,,,,,"Occupied rent free",,,,,,,,,,,,,,,,,,,,,,,,,"Rented",,,,,,,,,,,,,,,,,,,,,,,,,"Purchased under a shared equity scheme",,,,,,,,,,,,,,,,,,,,,,,,,"Owned with a mortgage",,,,,,,,,,,,,,,,,,,,,,,,,"Owned outright",,,,,,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,,,,,
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","Not applicable","All incomes not stated","Partial income stated","$8,000 or more ($416,000 or more)","$6,000-$7,999 ($312,000-$415,999)","$5,000-$5,999 ($260,000-$311,999)","$4,500-$4,999 ($234,000-$259,999)","$4,000-$4,499 ($208,000-$233,999)","$3,500-$3,999 ($182,000-$207,999)","$3,000-$3,499 ($156,000-$181,999)","$2,500-$2,999 ($130,000-$155,999)","$2,000-$2,499 ($104,000-$129,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)",
"2-digit level HCFMD Family Household Composition (Dwelling)",
"Not applicable",0,0,0,0,0,0,0,0,0,1066819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Other non-classifiable household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Visitors only household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,422,219,1126,1313,1108,525,599,568,0,17078,186,52,67,39,218,28,68,184,119,567,309,379,492,542,33,101,46,86,120,197,150,222,193,0,185,41,31,50,36,118,27,69,157,121,345,161,153,245,231,3,9,0,16,20,75,38,57,51,0,67,4,0,3,3,11,0,5,5,0,25,11,23,24,36,22,176,92,141,202,355,256,367,370,0,349,32,76,133,109,577,56,135,423,187,987,447,445,467,471,247,1100,394,874,1401,1898,1836,2321,2803,0,4304,378,686,1125,989,3427,620,1100,2736,1752,6408,2962,2913,3627,3444,0,5,4,6,0,19,8,17,14,0,24,0,8,4,4,9,0,0,7,0,15,11,11,7,11,69,341,132,214,290,523,450,640,807,0,853,117,501,644,479,1395,203,420,877,748,1790,853,880,953,994,436,1765,945,993,1521,3900,2538,5584,5016,0,2879,407,998,1058,883,2354,470,1085,2187,2329,4812,3055,2791,5405,5957,908,3910,1836,3461,4868,8075,5811,9798,9818,0,25740,1167,2354,3092,2549,8098,1415,2890,6575,5258,14942,7807,7601,11220,11688,
"Group household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,80,32,31,24,83,79,174,356,0,1847,3058,42,69,98,87,107,144,249,330,547,280,229,337,308,17,28,15,5,13,20,8,35,81,0,76,236,3,3,9,11,8,21,32,53,78,43,51,78,75,13,36,13,7,8,15,14,45,151,0,24,85,0,3,9,10,12,10,18,26,46,35,23,90,129,13,121,17,57,37,106,108,148,358,0,35,446,20,34,38,65,35,94,135,221,371,201,211,300,335,587,3400,996,1320,1035,2623,3131,6858,12087,0,2193,34498,1338,3998,5702,5876,6773,10705,15899,23896,33573,15268,14736,21167,16218,6,17,6,5,0,18,8,24,71,0,20,77,4,5,3,11,3,16,16,38,57,22,28,54,43,76,250,97,153,164,344,462,1033,2569,0,435,8117,253,1078,1483,1832,1450,2972,4559,6771,8287,3618,3531,4161,2779,186,670,255,378,407,983,1078,2373,8075,0,755,5325,151,316,514,492,403,777,1322,2426,3905,2549,2941,4809,5833,928,4605,1434,1950,1685,4194,4892,10695,23748,0,5394,51842,1815,5510,7859,8388,8789,14746,22229,33759,46874,22028,21753,30990,25717,
"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,2100,950,2295,3986,8848,5165,3339,3545,0,22995,0,0,0,0,1015,0,0,395,0,1416,1037,1941,2038,3106,247,623,213,449,746,1754,804,536,562,0,739,0,0,0,0,116,0,0,49,0,183,161,246,266,515,293,798,675,1780,3200,13817,8620,4243,3272,0,1659,0,0,0,0,407,0,0,157,0,550,395,789,973,2061,290,2146,824,1867,3193,7148,3757,2384,2977,0,681,0,0,0,0,625,0,0,383,0,1988,1234,1803,2223,3189,5799,24973,8487,32557,75639,107072,105749,57380,76735,0,22248,0,0,0,0,19647,0,0,12668,0,63455,39781,55552,66379,88226,60,185,105,259,468,1748,777,452,443,0,259,0,0,0,0,67,0,0,35,0,143,107,208,297,402,1538,8091,2207,5907,12321,27255,16684,21855,38560,0,4408,0,0,0,0,21937,0,0,14485,0,75817,44304,51758,51791,57018,7621,33772,17736,35460,67512,233974,112897,75903,72238,0,28496,0,0,0,0,17666,0,0,8022,0,32229,21640,31295,36522,59649,16883,72684,31201,80570,167060,401612,254458,166099,198344,0,81483,0,0,0,0,61483,0,0,36188,0,175781,108653,143584,160490,214167,
"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,14,0,3,3,4,4,4,5,3,9,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,24,3,11,10,3,4,11,11,12,5,6,9,3,4,
"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,12,12,0,19,145,7,26,41,32,44,64,89,99,135,69,52,48,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,5,128,40,91,97,63,69,99,81,76,66,12,14,12,9,0,0,0,0,0,0,0,0,5,0,9,72,24,32,45,23,40,48,52,52,66,19,9,3,3,0,3,0,9,3,0,3,14,17,0,29,376,68,160,182,129,159,210,225,229,273,105,84,64,49,
"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,3,0,8,3,5,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,3,0,5,0,7,4,4,6,0,0,0,0,0,0,3,4,0,3,7,0,7,207,48,98,91,63,80,81,86,105,103,55,50,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,4,0,6,318,253,385,284,156,172,153,141,124,90,16,14,20,9,0,0,0,0,0,3,0,0,0,0,6,111,142,132,92,72,65,61,64,52,38,12,12,10,6,3,5,0,5,3,8,3,11,9,0,34,684,458,628,483,294,324,308,292,300,230,97,77,62,29,
"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,37,24,23,18,18,21,22,22,7,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,61,93,71,44,24,25,27,14,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,51,32,27,24,17,15,11,18,12,0,0,3,0,0,0,0,0,0,0,0,4,5,0,12,150,128,162,125,86,56,59,63,57,55,14,12,14,0,
